Ed Olczyk
Harry Oliver
Bert Olmstead
Tom O'Neill
Jimmy Orlando
Brooks Orpik
Bobby Orr
Chris Osgood
Joel Otto
George Owen
Sandis Ozoliņš
Jim Paek
Samuel Påhlsson
Daniel Paille
Pete Palangio
Eddy Palchak
Jay Pandolfo
Jim Pappin
Bernie Parent
Scott Parker
George Parros
Rick Paterson
Tom Paton
Craig Patrick
Frank Patrick
Lester Patrick
Lynn Patrick
Muzz Patrick
Colin Patterson
Marty Pavelich
Barry Pederson
Mike David Peluso
Dustin Penner
Steve Penney
Jim Peplinski
Éric Perrin
Jean Perron
Corey Perry
Stefan Persson
Garry Peters
"Jimmy Peters, Sr."
Len Peto
Eric Pettinger
Gord Pettinger
Gordon Pettinger
Rich Peverley
Merlyn Phillips
Russell Phillips
Tommy Phillips
Noel Picard
John Pickett
Frank Pietrangelo
Alf Pike
Pierre Pilote
Rudy Pilous
Didier Pitre
Gerry Plamondon
Derek Plante
Jacques Plante
Michel Plasse
Larry Pleau
Peter Pocklington
Shjon Podein
Bud Poile
Sam Pollock
Jack Portland
Denis Potvin
Jean Potvin
Georges Poulin
Skinner Poulin
Jaroslav Pouzar
James Power
Babe Pratt
Nolan Pratt
Noel Price
Ken Priestlay
Joe Primeau
Chris Pronger
André Pronovost
Marcel Pronovost
Claude Provost
Sergei Pryakhin
Metro Prystai
Bob Pulford
Harvey Pulford
Jamie Pushor
Jean Pusie
Joel Quenneville
Charles Querrie
Kyle Quincey
Percy Quinn
André Racicot
Bruce Racine
Brian Rafalski
Rob Ramage
Craig Ramsay
Ken Randall
Bill Ranford
Tuukka Rask
Donat Raymond
Ken Reardon
Terry Reardon
Daryl Reaugh
Billy Reay
Mark Recchi
Pokey Reddick
Mickey Redmond
Jeff Reese
Earl Reibel
Dave Reid
Steven Reinprecht
"    Leo Reise, Jr."
Chico Resch
Pascal Rhéaume
Mike Ricci
Henri Richard
Maurice Richard
Brad Richards
Stéphane Richer
Mike Richter
Tex Rickard
Roy Rickey
Bruce Ridpath
Jim Riley
Doug Risebrough
Mattias Ritola
Gus Rivers
John Ross Roach
Mario Roberge
Robert Jones
Phil Roberto
Gary Roberts
Gordie Roberts
Jim Roberts
Earl Robertson
Fred Robertson
Earl Robinson
Larry Robinson
Luc Robitaille
Leon Rochefort
Eddie Rodden
Al Rollins
Brian Rolston
Aaron Rome
Elwin Romnes
Ed Ronan
Skene Ronan
Steve Rooney
Walter Rooney
Art Ross
Samuel Rothschild
Rolly Roulston
Bob Rouse
Bobby Rousseau
Haviland Routh
Bobby Rowe
Tom Rowe
André Roy
Patrick Roy
Claude Ruel
Darren Rumble
Reijo Ruotsalainen
Michael Rupp
Blair Russel
Ernie Russell
Jim Rutherford
Vladimír Růžička
Warren Rychel
Michael Ryder
Ken Sabourin
Joe Sakic
Don Saleski
Phil Samis
Henry Samueli
Kjell Samuelsson
Mikael Samuelsson
Ulf Samuelsson
Derek Sanderson
Charlie Sands
Tomas Sandström
Cory Sarich
Miroslav Šatan
Glen Sather
Denis Savard
Joe Savard
Marc Savard
Serge Savard
Terry Sawchuk
Fred Scanlan
Milt Schmidt
Mathieu Schneider
Danny Schock
Sweeney Schriner
Dave Schultz
Corey Schwab
Enio Sclisizzi
Joe Scott
Rob Scuderi
Sonia Scurfield
Brent Seabrook
Tyler Seguin
Earl Seibert
Dennis Seidenberg
Teemu Selänne
Frank J. Selke
Dave Semenko
Anatoli Semenov
Brent Severyn
Richard Sevigny
Eddie Shack
Brendan Shanahan
Ryan Shannon
Patrick Sharp
Bobby Sheehan
Johnny Sheppard
John Sherf
Fred Shero
Ray Shero
Jack Shewchuk
Alex Shibicky
Allan Shields
Jack Shill
Robert Taylor Shillington
Eddie Shore
Hamby Shore
Steve Shutt
Babe Siebert
Jon Sim
Don Simmons
Chris Simon
Cully Simon
Craig Simpson
Harry Sinden
Alf Skinner
Jimmy Skinner
Martin Škoula
Glen Skov
Brian Skrudland
Jiří Šlégr
Blake Sloan
Tod Sloan
Walter Smaill
Richard Šmehlík
Al Smith
Alex Smith
Alf Smith
Barry Smith
Billy Smith
Bobby Smith
Brad Smith
Clint Smith
Dallas Smith
Des Smith
Geoff Smith
George Smith
Harry Smith
Hooley Smith
James Stephen Smith
Neil Smith
Normie Smith
Rick Smith
Sid Smith
Tommy Smith
Rod Smylie
Conn Smythe
Stafford Smythe
Ed Snider
Doug Soetaert
Art Somers
Brent Sopel
John Sorrell
Bill Speer
Rick St. Croix
Dollard St. Laurent
Martin St. Louis
Eric Staal
Jordan Staal
Ted Stackhouse
Garrett Stafford
Fred Stanfield
