897,Duhaime,0.019
898,Giasson,0.019
899,Lewis,0.019
900,Limoges,0.019
901,Cameron,0.019
902,Canuel,0.019
903,McLean,0.019
904,Dastous,0.019
905,Daviault,0.019
906,Dunn,0.019
907,Chen,0.018
908,Diamond,0.018
909,Stewart,0.018
910,Jourdain,0.018
911,Poudrier,0.018
912,Doyle,0.018
913,Normandeau,0.018
914,Lacerte,0.018
915,Nicol,0.018
916,Décarie,0.018
917,Louis,0.018
918,Roberts,0.018
919,Pearson,0.018
920,Walker,0.018
921,Dansereau,0.018
922,Pereira,0.018
923,Lévy,0.018
924,Montreuil,0.018
925,Dalpé,0.018
926,Lacharité,0.018
927,Letendre,0.018
928,Vandal,0.018
929,Daneau,0.018
930,Mireault,0.018
931,Ahmed,0.018
932,Desfossés,0.018
933,Belhumeur,0.018
934,Gemme,0.018
935,Jomphe,0.018
936,Langelier,0.018
937,Magnan,0.018
938,Saucier,0.018
939,Brissette,0.017
940,Collins,0.017
941,Ly,0.017
942,Ruest,0.017
943,Hélie,0.017
944,Lapalme,0.017
945,Gordon,0.017
946,Bourbeau,0.017
947,Gonthier,0.017
948,Riverin,0.017
949,Toussaint,0.017
950,April,0.017
951,Diaz,0.017
952,Manseau,0.017
953,Bachand,0.017
954,Hurtubise,0.017
955,King,0.017
956,Alexandre,0.017
957,Bleau,0.017
958,Mark,0.017
959,Beaucage,0.017
960,Cauchon,0.017
961,Neveu,0.017
962,Painchaud,0.017
963,Quintal,0.017
964,Rose,0.017
965,Dupré,0.017
966,Morais,0.017
967,Legros,0.017
968,Pharand,0.017
969,Boisjoli,0.017
970,François,0.017
971,Cardin,0.017
972,Quévillon,0.017
973,Bergevin,0.017
974,Levac,0.017
975,Kirouac,0.017
976,Busque,0.017
977,Constantineau,0.017
978,Delâge,0.017
979,Valcourt,0.017
980,Montminy,0.017
981,Doiron,0.017
982,Sauriol,0.017
983,Savage,0.016
984,Soulières,0.016
985,Deraspe,0.016
986,Grant,0.016
987,Guérette,0.016
988,Lam,0.016
989,Loranger,0.016
990,Hogue,0.016
991,Carle,0.016
992,Ferron,0.016
993,Lemoine,0.016
994,Frigon,0.016
995,Juteau,0.016
996,Forcier,0.016
997,Pinsonneault,0.016
998,Hervieux,0.016
999,Daraiche,0.016
1000,McDuff,0.016
